Country,"GDP (nominal, 2023)",GDP (abbrev.),GDP Growth,Population 2023,GDP per capita,Share of World GDP,GDP_log,Population_log,GDP_per_capita_log
State of Palestine,17420800000.0,17.421 billion,-5.41,5409202,3221.0,0.016%,23.580930731598713,15.503612320191852,8.07775756373692
Afghanistan,17233051620.0,17.233 billion,2.71,41454761,416.0,0.016%,23.570094982715165,17.54011331835086,6.0330862217988015
Guyana,17159509565.0,17.16 billion,33.8,826353,20765.0,0.016%,23.56581835052788,13.624778532121182,9.9410723128634
Niger,16819170421.0,16.819 billion,2.5,26159867,643.0,0.016%,23.54578516934743,17.07973703866898,6.467698726104354
Moldova,16539436547.0,16.539 billion,0.78,3067070,5393.0,0.016%,23.529013459939932,14.936233592486085,8.593042503699674
Laos,15843155731.0,15.843 billion,3.75,7664993,2067.0,0.015%,23.486003428994977,15.85217428750888,7.63433723562832
Madagascar,15790113247.0,15.79 billion,3.8,31195932,506.0,0.015%,23.482649837322505,17.255798291718975,6.2285110035911835
North Macedonia,15763621848.0,15.764 billion,2.07,1831802,8606.0,0.015%,23.480970707727046,14.42081128568306,9.060331104649475
Congo,15321055823.0,15.321 billion,1.91,6182885,2478.0,0.014%,23.452493916899783,15.637295710719105,7.8156105320351905
Brunei,15128292981.0,15.128 billion,1.41,458949,32963.0,0.014%,23.439832534984415,13.036696550647237,10.403171335883274
Mauritius,14644524819.0,14.645 billion,6.96,1273588,11499.0,0.014%,23.407332370130913,14.057349457100283,9.350102314351341
Bahamas,14338500000.0,14.338 billion,2.64,399440,35897.0,0.014%,23.386214064205944,12.897821348676263,10.488436862618087
Rwanda,14097768472.0,14.098 billion,8.24,13954471,1010.0,0.013%,23.36928235747917,16.45131058833565,6.918695219020472
Kyrgyzstan,13987627909.0,13.988 billion,6.15,7073516,1977.0,0.013%,23.36143905513603,15.771868368214635,7.589841512182657
Chad,13149325362.0,13.149 billion,4.12,19319064,681.0,0.012%,23.299636291060214,16.776602990132414,6.525029657843462
Malawi,12712150082.0,12.712 billion,1.89,21104482,602.0,0.012%,23.26582407251453,16.864996040333896,6.401917196727186
Namibia,12351025067.0,12.351 billion,4.16,2963095,4168.0,0.012%,23.237004898033458,14.901745225625852,8.335431477880796
Equatorial Guinea,12337550584.0,12.338 billion,-5.09,1847549,6678.0,0.012%,23.235913341798923,14.42937099503774,8.806723554725636
Tajikistan,12060602009.0,12.061 billion,8.3,10389799,1161.0,0.011%,23.21320994491004,16.156335113611988,7.057897937411856
Mauritania,10651709411.0,10.652 billion,6.51,5022441,2121.0,0.010%,23.0889862243908,15.4294268275707,7.660114319173928
Togo,9171261838.0,9.171 billion,6.41,9304337,986.0,0.0086%,22.939340718873478,16.04599130098165,6.894670039433482
Montenegro,7530593375.0,7.531 billion,6.34,633552,11886.0,0.0071%,22.742239677247156,13.359098937438004,9.383200644980624
Barbados,6720733200.0,6.721 billion,4.09,282336,23804.0,0.0063%,22.62846309282137,12.550856671894739,10.077650921628619
Maldives,6590894302.0,6.591 billion,4.73,525994,12530.0,0.0062%,22.608954882323395,13.173046985971245,9.435960853165286
Sierra Leone,6411869546.0,6.412 billion,5.71,8460512,758.0,0.0060%,22.58141672635263,15.950920368041851,6.63200177739563
Fiji,5442046565.0,5.442 billion,7.52,924145,5889.0,0.0051%,22.41742103405145,13.736625346799777,8.681011276645632
Eswatini,4442875788.0,4.443 billion,5.01,1230506,3611.0,0.0042%,22.214567703948507,14.02293683754148,8.192016914536875
Liberia,4240000000.0,4.24 billion,4.68,5493031,772.0,0.0040%,22.167829106426126,15.518990937904002,6.650279048587422
Andorra,3785067332.0,3.785 billion,2.58,80856,46812.0,0.0036%,22.05432951310956,11.300437441343993,10.753916221110412
Aruba,3648573136.0,3.649 billion,4.26,107939,33802.0,0.0034%,22.01760200674127,11.589330796172634,10.428304834928856
Suriname,3455146281.0,3.455 billion,2.54,628886,5494.0,0.0033%,21.963130632488287,13.351706869305067,8.611593866837723
Belize,3066850000.0,3.067 billion,1.15,411106,7460.0,0.0029%,21.84391681348115,12.926608800228234,8.917444732471514
Burundi,2642161669.0,2.642 billion,2.7,13689450,193.0,0.0025%,21.69486323345295,16.43213609419609,5.267858159063328
Central African Republic,2555492085.0,2.555 billion,0.87,5152421,496.0,0.0024%,21.661510639317882,15.454977453349779,6.208590026096629
Cabo Verde,2533819406.0,2.534 billion,5.48,522331,4851.0,0.0024%,21.652993648349877,13.166058680018418,8.48714627006394
Saint Lucia,2430148148.0,2.43 billion,2.21,179285,13555.0,0.0023%,21.611218059107145,12.096737575116936,9.514584532726943
Gambia,2396111022.0,2.396 billion,4.8,2697845,888.0,0.0023%,21.59711285293745,14.80796423480274,6.790097235513905
Seychelles,2141450171.0,2.141 billion,3.16,127951,16736.0,0.0020%,21.48474908694606,11.759410472571671,9.725377116513638
Lesotho,2117962451.0,2.118 billion,1.83,2311472,916.0,0.0020%,21.473720355923156,14.653395541615396,6.821107472256465
Timor-Leste,2079916900.0,2.08 billion,-18.12,1384286,1503.0,0.0020%,21.45559377841925,14.140695763603773,7.315883504509785
Guinea-Bissau,2048348108.0,2.048 billion,5.2,2153339,951.0,0.0019%,21.440299504777197,14.582530683061115,6.858565034791365
Antigua and Barbuda,2033085185.0,2.033 billion,3.86,93316,21787.0,0.0019%,21.432820272337988,11.44375757816899,9.989114638503565
Solomon Islands,1633319401.0,1.633 billion,3.08,800005,2042.0,0.0015%,21.21388022397075,13.59237450662194,7.622174594817622
Comoros,1352380971.0,1.352 billion,3.0,850387,1590.0,0.0013%,21.02513255889719,13.653447994903729,7.372118028337787
Grenada,1316733333.0,1.317 billion,3.57,117081,11246.0,0.0012%,20.998419759327223,11.670629822996784,9.327856705404022
Vanuatu,1126313359.0,1.126 billion,2.21,320409,3515.0,0.0011%,20.842215622796104,12.677356704675555,8.165079258805068
St. Vincent & Grenadines,1065962963.0,1.066 billion,6.02,101323,10520.0,0.0010%,20.78714441912216,11.52607858221514,9.261128538808288
Saint Kitts & Nevis,1055499778.0,1.055 billion,2.28,46758,22574.0,0.00099%,20.777280215873187,10.752762029557497,10.024598378285186
Samoa,938189444.0,938.189 million,8.58,216663,4330.0,0.00088%,20.659462453528878,12.286103045435663,8.373553741214627
Sao Tome & Principe,678976265.0,678.976 million,0.37,230871,2941.0,0.00064%,20.33609673056743,12.349618723372721,7.9868449011613825
Dominica,653992593.0,653.993 million,4.71,66510,9833.0,0.00062%,20.298606585198332,11.10512262649847,9.193601047971885
Micronesia,460000000.0,460 million,0.78,112630,4084.0,0.00043%,19.946737049621326,11.631872267631467,8.315077007294104
Palau,281849063.0,281.849 million,1.88,17727,15899.0,0.00027%,19.456882251570963,9.78290058954701,9.674074388208323
Kiribati,279208903.0,279.209 million,4.12,132530,2107.0,0.00026%,19.447470819461458,11.794571859307663,7.653494909661253
Marshall Islands,259300000.0,259.3 million,-3.93,38827,6678.0,0.00024%,19.37349625436543,10.566896914832117,8.806723554725636
Tuvalu,62280312.0,62.28 million,3.85,9816,6345.0,0.000059%,17.947155930607874,9.191870855692521,8.75557997214314
